"x,","y","astig_1","defocus","astig_2"
2,3,-13.6086321776471,-11.0509370706441,-0.0625070956819853
3,3,-12.9352003411108,-10.9804761861058,-0.426392410449091
4,3,-13.4467439256802,-9.79974377930859,0.13159936276033
5,3,-12.8521488408577,-9.98993281965391,0.120668099488224
6,3,-11.5444307377729,-9.50308947664074,2.51450136884929
7,3,-8.47899515786321,-9.9683770351337,1.35451320024614
8,3,-7.68972124644946,-9.14466691447547,1.66979650848254
9,3,-5.70549599662901,-8.62428031140727,2.92150191626015
10,3,-5.94328954406155,-6.71010449074757,2.5802442343104
11,3,-2.16262773466501,-7.81616939183865,2.42815061183404
12,3,-0.606466622376276,-5.70461262300741,5.61943765465281
13,3,-1.68727273655371,-4.14444542876039,5.4609315777161
14,3,-2.02199906347353,-4.40546955236688,4.830247856175
15,3,-1.67654704659504,-4.47546491318483,4.88065164101727
16,3,-1.52201806183202,-4.40925167909489,4.45558193527509
17,3,-1.15133264879249,-5.01524964509729,4.81995588373316
18,3,-1.36911763799619,-4.26147832941602,3.98202945466488
19,3,-1.05399825834645,-5.41955146515444,3.23362291229653
20,3,2.88412819495682,-8.49243640685505,7.4782021493789
21,3,2.43135649442842,-8.80558503485213,6.99018752899208
22,3,5.72919834866737,-9.03668687914099,5.36319276451267
23,3,2.40345953197468,-7.37768337165761,3.69142438909661
24,3,7.16750842873924,-11.0094192673716,3.94299328578982
25,3,9.47829372837227,-10.3254939742262,4.18178366186648
26,3,4.00298257681599,-8.27890833485952,2.38085628382076
27,3,5.82061660902753,-8.4633726645956,3.42592441475851
28,3,6.56720583343282,-9.60257129830957,4.74752631928475
29,3,5.35984650673911,-9.98965333668419,4.24497180845789
30,3,7.95207035135437,-10.1933510938741,3.37477178696543
31,3,10.6759996471048,-8.73735131405972,2.6887989133189
32,3,5.60353552620171,-10.4634667034618,2.46541958911896
33,3,16.0775695863465,-5.53287760302311,-0.331010789431752
1,4,-12.1314911803779,-11.5364220216783,-2.33454721106201
2,4,-13.2617248137449,-11.1111262073295,-2.35876963278078
3,4,-11.5796605377603,-11.13027983724,-1.01937036166183
4,4,-10.8691988506797,-10.8959475669288,-0.302673083684528
5,4,-10.8111399904996,-10.4874734831955,-0.507915441659908
6,4,-8.71253622928867,-9.34912741826999,1.73405730052314
7,4,-6.75816019675185,-9.0807983489097,1.91381550998633
8,4,-6.02064769830548,-8.50599376552368,1.96188601844609
9,4,-3.54450078273073,-7.84535365753899,3.2993211985304
10,4,-3.67403085551088,-6.40650157179037,2.0134889110722
11,4,-3.11344018391646,-4.27507738630722,4.17868507687486
12,4,0.976558566824721,-5.37212091538347,4.8294723066124
13,4,-1.27745409806219,-3.69090271034042,4.7849687200452
14,4,-1.30128162554734,-3.82564764662613,4.69876126784182
15,4,-6.48395348197882,-6.25229820040046,6.34622187079819
16,4,-1.81954118877494,-3.98216320881807,5.20153019972897
17,4,-3.98222501867938,-5.84654502280258,7.11170771706859
18,4,-0.067354521666303,-7.49253901828836,7.05675877482313
19,4,3.32331420346999,-7.46960691361008,6.9593762295649
20,4,4.03020248678951,-8.05290217272832,6.80432480371062
21,4,2.85478041237039,-8.31881196507575,6.76262847411519
22,4,5.93026885388369,-8.93211307468576,6.41833038778127
23,4,6.39054334693927,-9.67523664718606,4.80182115163718
24,4,7.84271967821643,-10.4534169277587,3.75081103508518
25,4,10.2428397032841,-9.95236183972654,3.04244821727358
26,4,10.0987562233667,-9.83124337615329,2.76357072521018
27,4,12.1366842723041,-10.3152086852575,2.39312725054882
28,4,6.60874845486038,-10.1305650080598,4.13150789551656
29,4,6.8513838326915,-10.0880645387454,4.25508199852733
30,4,11.8292353270037,-10.0093595296354,2.21302679669648
31,4,9.52319298006853,-10.4009863595945,2.85832673483273
32,4,7.37150054693599,-10.0264613205928,2.33786223115958
